證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
2535,達欣工,228516,312,10620552,46.50,46.50,46.40,46.45, ,0.00,46.40,18,46.45,1,9.48
2536,宏普,33438,66,996252,29.85,29.95,29.70,29.80,-,0.05,29.80,4,29.85,1,0.00
2537,聯上發,742963,237,6911849,9.30,9.37,9.27,9.32, ,0.00,9.32,5,9.34,6,0.00
2538,基泰,466629,174,7257778,15.45,15.65,15.45,15.60,+,0.15,15.60,8,15.65,44,14.58
2539,櫻花建,129796,138,6261802,48.10,48.40,47.80,48.35,+,0.05,48.35,1,48.40,12,40.97
2540,愛山林,921963,704,81691408,88.50,90.10,87.50,88.50,-,0.50,88.50,148,88.60,10,34.17
2542,興富發,957843,927,37894831,39.45,39.65,39.40,39.60,+,0.10,39.55,54,39.60,13,13.52
2543,皇昌,5473567,2918,145635226,25.15,27.55,24.95,26.80,+,1.70,26.75,19,26.80,9,20.00
2545,皇翔,210251,168,9082034,43.30,43.30,43.10,43.25,-,0.05,43.15,2,43.25,3,120.14
2546,根基,42060,143,3232573,77.30,77.30,76.50,76.50,-,0.80,76.50,1,76.60,1,7.92
2547,日勝生,396996,185,3837504,9.64,9.71,9.64,9.67, ,0.00,9.66,11,9.67,2,0.00
2548,華固,168321,271,16086200,95.20,95.80,95.20,95.70,+,0.50,95.70,2,95.80,9,12.90
2597,潤弘,44163,75,5183921,116.50,118.00,116.50,117.50,+,1.00,117.00,14,117.50,1,12.38
2601,益航,796233,357,6656499,8.36,8.39,8.34,8.36, ,0.00,8.35,44,8.36,11,0.00
2603,長榮,16989377,9627,2566656555,152.00,154.00,150.00,151.00,-,0.50,150.50,636,151.00,12,5.16
2605,新興,2916862,1612,67893262,23.40,23.55,23.15,23.15,-,0.25,23.15,1,23.20,14,23.62
2606,裕民,1772663,1422,85901296,48.45,48.80,48.20,48.20,-,0.40,48.20,42,48.30,3,17.28
2607,榮運,2344156,1499,79505028,34.00,34.10,33.65,33.95,+,0.15,33.90,4,33.95,12,12.30
2608,嘉里大榮,77179,85,2893573,37.50,37.60,37.40,37.55,+,0.05,37.50,3,37.55,6,10.29
2609,陽明,22697063,13839,1113558225,49.30,49.75,48.70,48.90,-,0.35,48.90,21,48.95,25,8.20
2610,華航,14119780,4129,290819935,20.55,20.75,20.45,20.70,+,0.20,20.70,75,20.75,774,20.50
2611,志信,1004229,476,16618083,16.55,16.80,16.40,16.50,-,0.05,16.50,4,16.55,21,11.07
2612,中航,259434,180,11618126,44.70,45.10,44.30,44.50,-,0.20,44.50,3,44.55,1,17.80
2613,中櫃,61152,80,1360871,22.05,22.35,22.05,22.15,-,0.15,22.15,3,22.35,10,41.79
2614,東森,274927,422,5771463,21.00,21.10,20.90,21.00, ,0.00,20.95,21,21.00,1,0.00
2615,萬海,4277594,2864,212378734,49.75,50.20,49.35,49.75, ,0.00,49.70,12,49.75,62,0.00
2616,山隆,52653,219,1563170,29.60,29.70,29.60,29.70,+,0.05,29.65,7,29.70,6,28.84
2617,台航,402600,249,12938464,32.20,32.35,32.05,32.10,-,0.10,32.10,9,32.15,12,7.40
2618,長榮航,42714534,13485,1296678287,30.65,30.65,30.20,30.40,-,0.35,30.35,826,30.40,333,9.59
2630,亞航,899571,797,31908217,35.80,35.90,35.10,35.20,-,0.60,35.20,15,35.25,2,251.43
2633,台灣高鐵,1438688,884,42774344,29.55,29.85,29.55,29.85,+,0.25,29.80,1,29.85,171,25.30
2634,漢翔,2802486,1960,140114620,50.10,50.20,49.90,49.90,-,0.20,49.90,472,49.95,7,21.23
2636,台驊投控,1035087,1167,94053775,91.40,92.40,90.40,90.40,-,1.10,90.40,54,90.50,4,8.63
2637,慧洋-KY,1830791,1665,95103341,52.40,52.60,51.50,51.60,-,0.80,51.50,34,51.60,3,13.20
2642,宅配通,56056,359,2204434,39.30,39.40,39.25,39.25,-,0.20,39.20,12,39.30,12,32.98
2645,長榮航太,548569,492,55888859,102.00,103.00,101.50,102.00, ,0.00,101.50,76,102.00,1,22.37
2701,萬企,98753,75,1257072,12.80,12.80,12.65,12.70,-,0.05,12.65,20,12.70,1,27.61
2702,華園,95177,93,1963600,20.80,20.85,20.45,20.45, ,0.00,20.45,1,20.55,1,9.21
2704,國賓,62653,83,2857926,45.45,45.95,45.45,45.45,+,0.30,45.45,1,45.50,1,10.15
2705,六福,279779,252,4938839,17.50,17.75,17.50,17.60,+,0.05,17.55,5,17.60,1,0.00
2706,第一店,186342,167,2850038,15.30,15.35,15.25,15.25, ,0.00,15.25,17,15.30,3,28.77
2707,晶華,330165,429,70273585,211.00,214.00,211.00,212.50,+,2.00,212.00,29,212.50,3,20.83
2712,遠雄來,6043,10,208640,34.60,34.60,34.50,34.50,-,0.60,34.50,1,34.65,1,57.50
2722,夏都,1076597,853,61194615,55.10,59.00,55.10,55.40,+,0.90,55.40,13,55.80,8,58.32
2723,美食-KY,655061,408,63449874,96.80,98.00,96.40,97.30,+,0.60,97.20,8,97.30,1,20.14
2727,王品,1634386,1881,411125770,248.00,255.00,247.50,251.00,+,5.50,250.50,25,251.00,3,15.70
2731,雄獅,635598,664,81964870,129.50,131.00,127.50,127.50,-,1.50,127.50,50,128.00,3,25.40
2739,寒舍,2758752,1784,157917781,56.60,58.20,56.50,56.90,+,1.20,56.90,15,57.00,25,19.55
2748,雲品,1553533,1288,121783953,77.60,79.30,77.60,77.60,+,0.40,77.50,9,77.60,1,27.13
2753,八方雲集,166611,262,27451561,164.00,165.50,163.50,164.00,-,0.50,164.00,14,164.50,1,18.49
2762,世界健身-KY,1704747,2467,188229401,118.50,119.00,104.50,106.00,-,13.00,106.00,5,106.50,4,17.43
2801,彰銀,6949395,2257,121280764,17.35,17.50,17.30,17.50,+,0.20,17.50,4,17.55,871,14.96
2809,京城銀,568847,522,23394607,41.10,41.25,41.00,41.20, ,0.00,41.10,2,41.20,18,8.16
2812,台中銀,2219831,1183,35407043,15.90,16.00,15.90,16.00,+,0.10,15.95,69,16.00,1091,13.22
2816,旺旺保,478345,307,16112094,33.40,33.90,33.25,33.60,+,0.20,33.60,2,33.65,3,14.12
2820,華票,317753,168,4701257,14.70,14.90,14.70,14.80,+,0.10,14.80,7,14.85,38,16.44
2832,台產,398870,327,10399281,25.75,26.30,25.75,26.30,+,0.45,26.30,32,26.35,10,10.60
2834,臺企銀,6798982,1847,90577301,13.25,13.40,13.20,13.35,+,0.05,13.35,44,13.40,1533,9.60
2836,高雄銀,1713259,293,20791761,12.05,12.20,12.05,12.15,+,0.15,12.15,247,12.20,131,18.41
2836A,高雄銀甲特,45000,5,953750,21.20,21.20,21.15,21.20, ,0.00,21.20,8,21.25,3,0.00
2838,聯邦銀,891517,380,12604187,14.05,14.20,14.05,14.20,+,0.10,14.15,71,14.20,395,11.74
2838A,聯邦銀甲特,26245,19,1364954,52.00,52.10,52.00,52.10, ,0.00,52.00,8,52.10,8,0.00
2845,遠東銀,2907091,675,35388103,12.10,12.25,12.10,12.20,+,0.10,12.15,150,12.20,46,10.80
2849,安泰銀,28959,29,402391,13.80,13.95,13.80,13.95, ,0.00,13.90,21,13.95,2,126.82
2850,新產,242985,403,16745166,68.90,69.20,68.50,69.20,+,0.60,69.10,3,69.20,16,8.23
2851,中再保,440335,217,9945019,22.55,22.65,22.55,22.60,+,0.05,22.55,36,22.60,30,10.56
2852,第一保,308933,163,5698390,18.45,18.55,18.40,18.55,+,0.10,18.40,23,18.55,27,10.54
2855,統一證,475342,259,9081916,19.10,19.15,19.05,19.10,+,0.05,19.05,82,19.10,13,10.44
2867,三商壽,7314519,1897,36149665,4.96,4.96,4.93,4.94,-,0.01,4.93,342,4.94,31,0.00
2880,華南金,4968443,1802,107265127,21.40,21.65,21.40,21.65,+,0.25,21.60,80,21.65,417,14.53
2881,富邦金,13668350,5451,885020939,64.50,64.90,64.50,64.80,+,0.20,64.70,79,64.80,408,30.57
2881A,富邦特,18113,26,1112222,61.40,61.50,61.40,61.40,+,0.10,61.40,79,61.50,19,0.00
2881B,富邦金乙特,220673,30,13240280,60.00,60.10,59.90,60.10, ,0.00,59.90,29,60.00,1,0.00
2881C,富邦金丙特,3780,35,207004,54.80,54.80,54.80,54.80, ,0.00,54.80,1,54.90,2,0.00
2882,國泰金,12873549,4221,572052716,44.30,44.55,44.25,44.50,+,0.15,44.40,33,44.50,332,16.86
2882A,國泰特,263745,41,15824627,60.00,60.00,60.00,60.00,-,0.10,59.90,67,60.00,4,0.00
2882B,國泰金乙特,56233,45,3363357,59.80,60.00,59.70,60.00, ,0.00,59.60,12,60.00,40,0.00
2883,開發金,29224157,4797,356353994,12.10,12.30,12.05,12.15,+,0.05,12.15,1834,12.20,1431,16.42
2883B,開發金乙特,1620740,203,11534794,7.11,7.13,7.10,7.11, ,0.00,7.10,174,7.11,22,0.00
2884,玉山金,11631853,5137,288901011,24.60,24.95,24.55,24.85,+,0.20,24.85,257,24.90,237,19.41
2885,元大金,12114687,4185,325116363,26.75,26.95,26.60,26.95,+,0.20,26.90,152,26.95,436,13.48
2886,兆豐金,11290138,4883,430413603,37.65,38.40,37.65,38.35,+,0.55,38.30,635,38.35,30,16.97
2887,台新金,9239256,3796,159959061,17.15,17.45,17.15,17.40,+,0.20,17.35,37,17.40,504,12.61
2887E,台新戊特,39202,17,2024702,51.70,51.70,51.60,51.70, ,0.00,51.60,18,51.70,1,0.00
2887F,台新戊特二,14395,15,661385,45.95,45.95,45.95,45.95, ,0.00,45.95,10,46.00,12,0.00
2887Z1,台新己特,4388,11,73920,16.85,16.85,16.85,16.85,+,0.05,16.85,1,16.90,6,0.00
2888,新光金,18763664,3685,161402124,8.55,8.63,8.54,8.62,+,0.05,8.61,670,8.62,68,0.00
2888A,新光金甲特,46865,45,1302335,27.85,27.90,27.75,27.90,+,0.05,27.80,2,27.90,9,0.00
2888B,新光金乙特,96448,45,2703073,28.00,28.15,27.90,28.15,+,0.15,28.00,5,28.15,1,0.00
2889,國票金,2402114,733,28692785,11.85,12.00,11.85,11.95,+,0.05,11.90,878,11.95,38,24.39
2890,永豐金,7052129,2440,134663296,18.95,19.20,18.95,19.15,+,0.20,19.10,144,19.15,29,12.68
2891,中信金,51079518,11665,1450663736,28.10,28.60,28.05,28.50,+,0.35,28.45,731,28.50,1602,12.03
2891B,中信金乙特,96869,33,5831101,60.20,60.30,60.10,60.30, ,0.00,60.00,13,60.20,15,0.00
2891C,中信金丙特,1598,24,94506,59.30,59.30,59.30,59.30,+,0.10,59.10,5,59.20,4,0.00
2892,第一金,9357333,3578,250906439,26.55,26.95,26.55,26.85,+,0.20,26.80,176,26.85,114,15.79
2897,王道銀行,1528688,560,14524314,9.47,9.53,9.46,9.50,+,0.02,9.49,22,9.50,16,5.25
2897A,王道銀甲特,2298,2,23884,10.40,10.40,10.40,10.40,+,0.10,10.30,50,10.35,5,0.00
2901,欣欣,19068,55,501822,26.25,26.45,26.25,26.45,+,0.20,26.35,5,26.60,2,77.79
2903,遠百,1898230,532,46787193,24.45,24.75,24.45,24.65,+,0.20,24.60,153,24.65,192,12.14
2904,匯僑,21320,27,399813,18.75,18.75,18.75,18.75,+,0.05,18.70,14,18.80,8,17.20
2905,三商,580123,409,7251978,12.50,12.60,12.35,12.50, ,0.00,12.50,128,12.55,66,0.00
2906,高林,1432776,758,28788519,19.90,20.30,19.80,20.00,+,0.05,20.00,11,20.05,1,57.14
2908,特力,210853,62,4327501,20.50,20.55,20.45,20.50,-,0.05,20.50,4,20.55,17,48.81
2910,統領,49440,60,1346962,27.00,27.60,27.00,27.35,+,0.25,27.10,1,27.35,2,27.08
2911,麗嬰房,104909,411,647583,6.18,6.22,6.15,6.17, ,0.00,6.17,2,6.18,5,0.00
2912,統一超,885505,1479,234681609,265.00,266.00,264.50,265.00,-,1.50,265.00,31,265.50,1,26.55
2913,農林,1625181,830,33323067,20.55,20.65,20.40,20.40,-,0.10,20.40,142,20.45,11,0.00
2915,潤泰全,1312914,814,80053979,60.60,61.20,60.60,61.10,+,0.70,61.10,42,61.20,41,11.25
2923,鼎固-KY,14597,57,338653,23.00,23.50,23.00,23.45,+,0.25,23.25,2,23.40,1,1172.50
2929,淘帝-KY,554386,174,6446740,11.65,11.70,11.55,11.55,-,0.05,11.55,88,11.60,5,0.00
2939,凱羿-KY,6000,6,178700,29.80,29.85,29.70,29.70, ,0.00,29.45,1,29.75,19,0.00
2945,三商家購,2692,24,118377,44.00,44.00,44.00,44.00,+,0.30,43.75,2,44.50,1,30.56
3002,歐格,796228,376,11653679,15.20,15.25,14.25,14.35,-,0.75,14.30,14,14.35,5,84.41
3003,健和興,102791,117,7122795,68.90,69.60,68.90,69.60,+,0.30,69.50,1,69.70,5,19.33
3004,豐達科,51458,148,4689337,91.80,91.80,90.80,91.10,-,0.70,91.00,4,91.10,1,17.52
3005,神基,15595721,13874,1676839817,112.00,113.50,104.50,105.00,-,8.00,104.50,332,105.00,96,16.20
3006,晶豪科,2984939,2127,276387862,92.40,93.20,91.80,92.80,+,0.70,92.70,6,92.80,14,0.00
3008,大立光,633335,3090,1587298130,2550.00,2550.00,2490.00,2490.00,-,60.00,2490.00,16,2495.00,1,19.59
3010,華立,94959,167,9254332,97.80,97.80,97.30,97.40,-,0.40,97.30,4,97.50,1,11.42
3011,今皓,364902,241,11939929,32.65,33.00,32.55,32.60,-,0.40,32.55,29,32.60,1,0.00
3013,晟銘電,1608209,1152,68412823,42.80,43.20,42.20,42.50,-,0.50,42.45,1,42.50,11,36.32
3014,聯陽,968576,1054,142755316,150.00,150.00,146.50,147.00,-,1.00,146.50,49,147.00,20,16.24
3015,全漢,133357,102,6888826,51.50,51.90,51.50,51.90,+,0.40,51.60,3,51.90,6,13.95
3016,嘉晶,142061,144,8103348,56.90,57.50,56.70,57.20,+,0.30,57.20,4,57.30,7,80.56
3017,奇鋐,7309066,7374,2802119979,387.50,387.50,378.00,386.00,-,3.50,385.50,2,386.00,44,31.38
3018,隆銘綠能,3462,83,53537,0,0,0,0, ,0.00,15.45,1,15.80,31,0.00
3019,亞光,329747,753,22304299,67.80,68.10,67.30,67.40,-,0.30,67.40,3,67.60,1,30.92
3021,鴻名,531335,370,11741593,21.60,22.45,21.60,21.65,+,0.10,21.65,20,21.70,1,16.53
3022,威強電,246037,254,19274923,78.60,78.80,78.00,78.20,-,0.40,78.20,2,78.30,2,9.11
3023,信邦,559466,1271,147562469,264.00,265.50,262.00,263.00,-,1.50,263.00,1,263.50,4,19.20
3024,憶聲,4049648,1765,75466677,17.70,19.10,17.70,18.70,+,0.95,18.70,23,18.75,21,47.95
3025,星通,4787547,5656,293396745,61.90,62.60,60.50,60.50,-,1.40,60.50,79,60.60,3,30.10
3026,禾伸堂,90372,114,8562239,94.50,95.00,94.50,95.00, ,0.00,94.60,7,95.10,1,16.24
3027,盛達,382176,350,14696100,38.60,38.70,38.25,38.25,-,0.35,38.20,28,38.25,3,37.87
3028,增你強,192186,233,6473826,33.75,33.90,33.50,33.70, ,0.00,33.60,5,33.70,17,13.87
3029,零壹,1070567,1095,72609790,68.20,68.70,67.30,67.90,-,0.10,67.90,8,68.00,5,15.90
3030,德律,1190473,1082,82593530,68.80,70.00,68.50,69.10,+,0.50,69.00,23,69.10,9,15.67
3031,佰鴻,384002,273,7546697,19.75,20.00,19.35,19.50,+,0.15,19.40,11,19.55,3,20.97
3032,偉訓,2770239,2050,207709935,75.40,76.50,74.40,74.50,-,0.90,74.40,17,74.50,26,14.90
3033,威健,2658306,1905,81867624,30.75,31.10,30.60,30.65, ,0.00,30.65,57,30.70,4,15.64
3034,聯詠,4117388,4852,2132762083,525.00,525.00,514.00,520.00,-,8.00,519.00,50,520.00,23,14.36
3035,智原,14497530,14631,6210046891,435.50,435.50,422.00,422.00,-,17.50,422.00,3,422.50,5,58.45
3036,文曄,14361955,9988,2136694048,153.00,153.50,145.50,149.50,-,3.00,149.00,21,149.50,66,37.10
3036A,文曄甲特,58817,53,2726134,46.25,46.40,46.25,46.40,+,0.15,46.40,3,46.45,6,0.00
3037,欣興,16480862,15314,2848965850,175.00,175.50,171.50,171.50,-,4.00,171.50,421,172.00,187,15.91
3038,全台,4272646,2841,135531454,32.45,32.60,31.25,31.50,-,0.65,31.40,34,31.50,7,10.98
3040,遠見,87998,600,2738143,31.15,31.15,31.00,31.05,-,0.15,31.00,5,31.15,2,33.75
3041,揚智,2133282,1366,58142814,27.35,27.80,27.00,27.10,-,0.15,27.10,12,27.15,21,0.00
3042,晶技,648531,641,62540024,96.30,97.10,96.00,96.50,+,0.20,96.10,2,96.60,18,17.11
3043,科風,158102,305,5639381,36.05,36.20,35.15,35.60,-,0.55,35.30,7,35.60,1,17.37
3044,健鼎,1180522,1154,211810273,181.00,181.50,178.50,179.50, ,0.00,179.00,10,179.50,67,15.98
3045,台灣大,1480843,1085,145203398,97.40,98.40,97.40,98.40,+,0.80,98.10,49,98.40,76,24.85
3046,建碁,320703,397,21227951,66.60,67.00,65.70,65.70,-,0.90,65.70,6,65.90,4,21.76
3047,訊舟,3502023,1624,56933910,16.65,16.65,16.05,16.10,-,0.35,16.10,14,16.15,25,84.74
3048,益登,136620,273,3246348,23.60,23.90,23.60,23.75,+,0.05,23.70,3,23.75,1,169.64
3049,精金,1477642,696,13989843,9.41,9.51,9.41,9.45,+,0.05,9.44,7,9.45,9,0.00
3050,鈺德,1429987,607,24889208,17.60,17.75,17.05,17.70,+,0.20,17.65,13,17.70,16,19.45
3051,力特,1902868,1098,62504765,32.85,33.40,32.45,32.50,-,0.20,32.50,11,32.60,1,56.03
3052,夆典,758015,212,9209419,12.10,12.20,12.10,12.10, ,0.00,12.10,46,12.15,11,11.31
3054,立萬利,3000,3,62300,21.00,21.00,20.50,20.50,-,0.20,20.40,1,20.70,1,0.00
3055,蔚華科,5786425,3713,305238183,53.00,54.00,51.80,52.60,-,0.30,52.60,5,52.70,1,26.17
3056,富華新,1000033,628,28499056,28.25,28.70,28.20,28.40,+,0.25,28.40,3,28.45,2,8.45
3057,喬鼎,104858,148,1330328,12.65,12.80,12.55,12.75,+,0.10,12.70,13,12.75,1,0.00
3058,立德,848884,436,17162902,20.40,20.70,19.95,19.95,-,0.45,19.95,18,20.00,23,105.00
3059,華晶科,2501300,1649,91647436,37.30,37.30,36.40,36.45,-,0.65,36.45,24,36.55,29,26.61
3060,銘異,234971,257,4795069,20.45,20.60,20.25,20.35,-,0.10,20.35,5,20.40,3,0.00
3062,建漢,529703,338,11147280,21.10,21.30,20.90,20.95,-,0.15,20.95,10,21.00,14,0.00
3090,日電貿,180532,197,10262144,56.90,57.10,56.70,56.70,-,0.40,56.70,16,56.80,2,16.34
3092,鴻碩,169602,142,5863800,34.60,34.70,34.40,34.50,-,0.10,34.50,1,34.55,4,0.00
3094,聯傑,657873,466,23771118,36.65,36.65,35.95,35.95,-,0.55,35.95,6,36.00,6,52.10
3130,一零四,14305,43,3122585,218.00,218.50,218.00,218.50,+,0.50,218.00,6,218.50,2,16.43
3138,耀登,401028,387,59212087,148.00,149.00,146.00,147.50,-,0.50,147.50,4,148.00,3,20.95
3149,正達,1650604,1473,49299247,29.85,30.30,29.50,30.00,+,0.15,29.95,12,30.00,8,0.00
3164,景岳,77116,171,1811919,23.60,23.60,23.30,23.60, ,0.00,23.50,4,23.60,2,42.14
3167,大量,562218,527,29614983,54.60,54.60,51.50,51.70,-,2.90,51.70,5,52.00,5,0.00
3189,景碩,2852261,2112,285027526,101.00,101.50,98.60,100.00,-,1.00,100.00,156,100.50,100,51.81
3209,全科,136693,158,4812300,35.30,35.35,35.10,35.10,-,0.20,35.10,3,35.15,2,12.86
3229,晟鈦,23361,31,361109,15.45,15.55,15.35,15.35,-,0.15,15.35,2,15.50,5,0.00
3231,緯創,84718705,45779,9581650780,114.50,115.00,112.00,113.00,-,2.00,113.00,588,113.50,1824,26.53
3257,虹冠電,181870,318,13336780,73.60,74.50,72.50,72.70,-,1.40,72.70,3,72.80,1,29.67
3266,昇陽,167085,136,3050250,18.20,18.40,18.05,18.30,+,0.05,18.20,40,18.30,1,16.05
3296,勝德,2957273,1731,70039749,23.50,24.60,23.05,23.60,-,0.45,23.55,2,23.60,4,0.00
3305,昇貿,576772,475,38372865,66.30,67.20,66.10,66.30,-,0.50,66.20,17,66.40,5,53.04
3308,聯德,157225,391,5179439,33.25,33.30,32.65,32.65,-,0.60,32.65,2,32.80,1,4.50
3311,閎暉,552925,496,22198798,40.80,40.95,39.65,39.85,-,0.85,39.85,30,40.00,5,25.22
3312,弘憶股,10272114,5692,250757534,24.70,25.20,23.60,23.90,-,0.80,23.85,2,23.90,35,10.48
3321,同泰,268004,243,3673421,13.65,13.80,13.60,13.70,+,0.05,13.65,8,13.75,8,0.00
3338,泰碩,505512,694,30972925,61.80,62.00,60.90,61.00,-,0.80,60.90,15,61.00,3,23.83
3346,麗清,956195,704,46665217,49.45,49.50,48.35,48.50,-,0.90,48.45,20,48.50,2,17.96
3356,奇偶,2992325,2315,131450136,42.00,45.20,42.00,43.25,+,1.60,43.25,9,43.40,7,15.67
3376,新日興,11169501,6962,1533780692,136.50,140.00,135.00,137.00,-,0.50,137.00,136,137.50,48,32.78
3380,明泰,7935606,4627,311307745,39.10,39.60,38.85,39.10, ,0.00,39.10,114,39.15,31,29.40
3406,玉晶光,633288,936,254872734,402.50,404.50,400.00,402.50,+,0.50,402.50,2,403.00,9,16.42
3413,京鼎,847951,1439,182678982,217.50,217.50,213.00,213.50,-,4.00,213.00,6,214.00,23,10.90
3416,融程電,1250877,1228,177615903,140.00,145.00,139.00,142.00,+,5.50,142.00,1,142.50,23,20.64
3419,譁裕,240460,160,4245155,17.60,18.00,17.45,17.55, ,0.00,17.55,5,17.60,2,0.00
3432,台端,203410,338,3401764,17.05,17.05,16.50,16.80,-,0.30,16.65,1,16.80,2,0.00
3437,榮創,2197999,1307,63535053,28.80,29.40,28.50,28.50,-,0.25,28.50,9,28.70,1,0.00
3443,創意,5397908,11247,8350970130,1530.00,1575.00,1520.00,1545.00,-,10.00,1540.00,49,1545.00,23,49.98
3447,展達,82404,69,3098430,38.40,38.40,37.20,37.20,-,0.80,37.20,1,37.60,2,21.50
3450,聯鈞,2806575,1666,167846817,60.20,60.70,59.30,59.50,-,1.20,59.40,36,59.50,5,0.00
3454,晶睿,348470,390,53823987,149.50,156.00,149.50,155.00,+,5.00,154.50,7,155.00,1,20.69
3481,群創,157696477,32247,2680698375,16.65,17.15,16.65,17.00,+,0.20,17.00,670,17.05,3377,0.00
3494,誠研,86215,75,512980,6.00,6.05,5.90,5.91,-,0.17,5.91,1,6.03,3,0.00
3501,維熹,98510,78,5022298,50.90,51.10,50.90,50.90, ,0.00,50.80,14,51.00,8,11.34
3504,揚明光,1612733,1494,112477703,69.30,71.00,68.20,69.90, ,0.00,69.90,12,70.00,1,0.00
